maker,model,size,format,doors,seats,Cylinders,Automatic,Assisted steering,ESP,0-100 kmph (sec),Max speed (km/h),Fuel eff (l/100km),Fuel type
BMW,3-Series,Medium car,Saloon,2,5,L4,-,-,,"14,8",154,"11,5",Super
BMW,3-Series,Medium car,Saloon,2,5,L4,O,-,,14,160,"11,5",Normal
BMW,3-Series,Medium car,Saloon,2,5,L4,-,-,,"12,5",163,"12,5",Super
BMW,3-Series,Medium car,Saloon,2,5,L4,O,-,,12,165,12,Normal
BMW,3-Series,Medium car,Saloon,2,5,L4,O,-,,"11,5",171,"12,5",Super
BMW,3-Series,Medium car,Saloon,2,5,L4,O,-,,11,170,13,Super
BMW,3-Series,Medium car,Saloon,2,5,L4,O,-,,10,180,13,Super
BMW,3-Series,Medium car,Saloon,2,5,L6,O,-,,"11,1",181,"13,5",Super
BMW,3-Series,Medium car,Saloon,2,5,L6,O,-,,"9,2",191,14,Super
BMW,3-Series,Medium car,Saloon,4,5,L4,O,O,,"12,1",182,"8,6",Normal breifrei
BMW,3-Series,Medium car,Saloon,4,5,L4,O,O,,"12,4",175,"10,6",Super
BMW,3-Series,Medium car,Saloon,4,5,L4,O,O,,"12,1",182,"6,8",Normal breifrei
BMW,3-Series,Medium car,Saloon,4,5,L4,O,O,,"11,2",184,11,Super
BMW,3-Series,Medium car,Saloon,4,5,L4,O,O,,"11,9",180,"8,2",Normal breifrei
BMW,3-Series,Medium car,Saloon,4,5,L4,O,O,,"10,8",188,"8,6",Normal breifrei
BMW,3-Series,Medium car,Saloon,4,5,L4,-,O,,"9,9",202,"8,5",Super breifrei
BMW,3-Series,Medium car,Saloon,4,5,L6,O,O,,"10,4",196,"11,4",Super
BMW,3-Series,Medium car,Saloon,4,5,L6,O,O,,"10,2",197,"8,9",Super
BMW,3-Series,Medium car,Saloon,4,5,L6,O,O,,"10,6",195,"9,9",Normal breifrei
BMW,3-Series,Medium car,Saloon,4,5,L6,O,O,,"9,6",204,"12,2",Super
BMW,3-Series,Medium car,Saloon,4,5,L6,O,O,,"8,3",217,"8,9",Super
BMW,3-Series,Medium car,Saloon,4,5,L6,O,O,,"8,6",215,n/a,Normal breifrei
BMW,3-Series,Medium car,Saloon,4,5,L6,-,S,,9,212,"9,4",Super
BMW,3-Series,Medium car,Saloon,4,5,L6,O,S,,"9,4",207,n/a,Normal breifrei
BMW,3-Series,Medium car,Saloon,4,5,L6,O,S,,"9,2",218,"10,4",Normal breifrei
BMW,3-Series,Medium car,Saloon,4,5,L6,O,O,,"11,8",184,"8,4",Normal breifrei
BMW,3-Series,Medium car,Saloon,4,5,L6,O,O,,"10,1",193,"8,4",Normal breifrei
BMW,3-Series,Medium car,Saloon,2,5,L6,n/a,O,,"6,9",238,n/a,Super
BMW,3-Series,Medium car,Saloon,2,5,L6,-,S,,"6,7",235,"8,4",Super
BMW,3-Series,Medium car,Saloon,2,5,L6,-,S,,"6,8",230,"9,3",Super breifrei
BMW,3-Series,Medium car,Saloon,2,4,L6,O,S,,"6,9",230,"8,8",Super breifrei
BMW,3-Series,Medium car,Saloon,4,5,L6,O,O,,"16,1",165,"6,9",Diesel
BMW,3-Series,Medium car,Saloon,4,5,L6,-,O,,"16,1",165,"6,9",Diesel
BMW,3-Series,Medium car,Saloon,4,5,L6,O,O,,"11,9",187,7,Diesel
BMW,3-Series,Medium car,Estate,5,5,L4,O,O,,"12,5",180,"8,8",Normal breifrei
BMW,3-Series,Medium car,Estate,5,5,L4,O,O,,"11,7",188,"8,9",Normal breifrei
BMW,3-Series,Medium car,Estate,5,5,L6,O,O,,"10,6",195,"9,9",Normal breifrei
BMW,3-Series,Medium car,Estate,5,5,L6,O,O,,"8,3",215,"9,7",Normal breifrei
BMW,3-Series,Medium car,Estate,5,5,L6,O,S,,"9,2",218,"10,4",Normal breifrei
BMW,3-Series,Medium car,Estate,5,5,L6,O,O,,"11,9",187,7,Diesel
BMW,3-Series,Medium car,Cabrio,2,4,L4,O,S,,12,187,"8,8",Normal breifrei
BMW,3-Series,Medium car,Cabrio,2,4,L6,O,O,,,,,Super
BMW,3-Series,Medium car,Cabrio,2,4,L6,O,O,,,,,NF
BMW,3-Series,Medium car,Cabrio,2,4,L6,O,O,,"11,5",212,"9,5",Normal breifrei
BMW,3-Series,Medium car,Cabrio,2,4,L6,O,O,,"8,7",214,"9,7",Normal breifrei
BMW,3-Series,Medium car,Cabrio,2,4,L6,-,S,,"7,5",228,n/a,Super breifrei
BMW,3-Series,Medium car,Hatchback,3,5,L4,4,S,,"12,3",188,"7,4",Super bleifrei
BMW,3-Series,Medium car,Hatchback,3,5,L4,4,S,,"9,9",209,"8,3",Super bleifrei
BMW,3-Series,Medium car,Hatchback,3,5,L4,5,S,,"7,8",230,"9,3",Superkraftstoff
BMW,3-Series,Medium car,Hatchback,3,5,L4,-,S,,"13,9",175,"5,9",Diesel
BMW,3-Series,Medium car,Saloon,4,5,L4,O,O,,"12,9",191,"7,9",Normal breifrei
BMW,3-Series,Medium car,Saloon,4,5,L4,4,S,,"12,7",195,"7,4",Normalkraftstoff
BMW,3-Series,Medium car,Saloon,4,5,L4,O,S,,"11,3",198,"8,3",Normal breifrei
BMW,3-Series,Medium car,Saloon,4,5,L4,4,S,,"11,3",201,"7,6",Normalkraftstoff
BMW,3-Series,Medium car,Saloon,4,5,L4,4,S,,"10,2",213,"8,3",Super bleifrei
BMW,3-Series,Medium car,Saloon,4,5,L6,5,S,,10,214,"8,8",Super bleifrei
