name,description,price,imgUrl,linkto
Lave linge hublotProline FP 612 W,Capacité 6 kg (tambour 38 L) - Classe A++,"229,99€*",https://image.darty.com/gros_electromenager/lavage_sechage/lave-linge_hublot/proline_fp_612_w_p1610264250010A_170307023.jpg,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/proline_fp_612_w.html
Lave linge ouverture dessusIndesit BTWCA51052,Capacité 5 kg (tambour 42 L) - Classe A++,"249,99€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_ouverture_dessus/indesit_btwca51052.html
Lave linge hublotIndesit XWA71452WFR,Capacité 7 kg (tambour 52 L) - Classe A++,"299,99€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/indesit_xwa71452wfr.html
Lave linge séchantIndesit XWDE 861480X W FR,Capacité de lavage 8 kg / séchage 6 kg - Classe A,"399,99€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_sechant/indesit_xwde_861480x_w_fr.html
Lave linge hublotSamsung WW70J5355 METAL GREY,Capacité 7 kg (volume du tambour 63 L),"469,00€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/samsung_ww70j5355_metal_grey.html
Lave linge hublotLg F94N51WHSB,Capacité 9 kg (tambour 59 L) - Classe A+++(- 30%),"499,00€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/lg_f94n51whsb.html
Lave linge hublotWhirlpool FWFD91483BFR,Capacité 9 kg (tambour 62 L) - Classe A+++,"399,00€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/whirlpool_fwfd91483bfr.html
Lave linge hublotIndesit XWE 101484X WSSS FR,Capacité 10 kg (tambour 71 L) - Classe A+++,"399,00€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/indesit_xwe_101484x_wsss_fr.html
Lave linge hublotSiemens WM12B211FF,Capacité 6 kg (tambour 42 L) - Classe A+++,"329,99€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/siemens_wm12b211ff.html
Lave linge hublotBeko LLF08W3,Capacité 8 kg (tambour 55 L) - Classe A+++,"299,99€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/beko_llf08w3.html
Lave linge hublotFaure FWF10120PS,Capacité 10 kg (tambour 68 L) - Classe A+++ -20%,"329,99€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/faure_fwf10120ps.html
Lave linge hublotProline FP581WH,Capacité 5 kg (tambour 38 L) - Classe A+,"199,99€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/proline_fp581wh.html
Lave linge hublotBosch WAB24211FF,Capacité 6 kg (tambour 42 L) - Classe A+++,"499,00€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/bosch_wab24211ff.html
Lave linge hublotThomson TW714,Capacité 7 kg (tambour 45.5 L) - Classe A+++,"399,99€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/thomson_tw714.html
Lave linge ouverture dessusHaier RTXSSG684TMH-47,Capacité 8 kg (Volume du tambour 46 L) - Classe A+++-30%,"429,00€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_ouverture_dessus/haier_rtxssg684tmh-47.html
Lave linge hublotProline FP 610 W,Capacité 6 kg (tambour 44 L) - Classe A++,"219,99€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/proline_fp_610_w.html
Lave linge ouverture dessusWhirlpool AWE5213,Capacité 5 kg (tambour 42 L) - Classe A+++,"359,00€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_ouverture_dessus/whirlpool_awe5213.html
Lave linge séchantWhirlpool FWDG97168WSFR,Capacité de lavage 9 kg / Séchage 7 kg - Classe A,"599,00€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_sechant/whirlpool_fwdg97168wsfr.html
Lave linge ouverture dessusElectrolux EW7T3375DD,Capacité 7 kg (tambour 42 L) - Classe A+++,"499,00€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_ouverture_dessus/electrolux_ew7t3375dd.html
Lave linge hublotElectrolux EW2F1284GF,Capacité 8 kg - Classe A+++,"399,99€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/electrolux_ew2f1284gf.html
Lave linge hublotHaier HW90-BP14636,Capacité 9 kg (tambour 55 L) - A+++ -40%,"439,00€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/haier_hw90-bp14636.html
Sèche lingeProline DVE7P-1,Capacité 7 Kg - Evacuation,"199,99€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/seche-linge/proline_dve7p-1.html
Lave linge hublotSamsung WW70K5410UX ADDWASH,Capacité 7 kg (tambour 63 L) - Classe A+++ (-30%),"459,00€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/samsung_ww70k5410ux.html
Sèche lingeBosch WTN85207FF,Capacité 7 kg - Condensation,"419,00€*",https://www.darty.com/static/oPqy/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gros_electromenager/lavage_sechage/seche-linge/siemens_wtn85207ff.html
