name,description,price,imgUrl,linkto,infos2,infos3,infos4,rating,promo,darty_prix_barre_cont,striped_price
Faure FWF10120PS,Capacité 10 kg (tambour 68 L),329€99,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/faure_fwf10120ps_n1809194610032A_174909364.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/faure_fwf10120ps.html,Essorage variable jusqu'à 1200 tours/min - Classe A+++ -20%,Départ différé 3/6/9 heures,Tambour et hublot XXL - Fonction AutoSense,"4,2/5 (5 avis)",,649€55,-49%
Haier HW90-BP14636,Capacité 9 kg (tambour 55 L),389€,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/haier_hw90-bp14636_n1803284403851A_110828038.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/haier_hw90-bp14636.html,Essorage variable jusqu'à 1400 tours/min,Fin différée / Affichage du temps restant,Technologie antibactérienne - Fonction vapeur,"4,8/5 (4 avis)",Bon plan,467€,-17%
Faure FWF7145PW,"Capacité 7 kg (tambour 52,4 L)",371€49,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/faure_fwf7145pw_n1409084043979A_160701406.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/faure_fwf7145pw.html,Essorage variable jusqu'à 1400 tours/min - Classe A+++,Départ différé jusqu'à 20 heures,Basse consommation - Boite à produit Duodose - rinçage plus,0/5 (0 avis),,,
Bosch WAN28200FF,Capacité 8 kg (tambour 55 L) - Classe A+++ -10%,599€,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/bosch_wan28200ff_n1603174213017A_173019570.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/bosch_wan28200ff.html,Essorage variable jusqu'à 1400 tours/min,Fin différée / Affichage du temps restant,Moteur à induction - Ouverture immédiate pour rajout de linge,5/5 (2 avis),,599€,Économie : 50€
Beko DWTV6621XWOW,Capacité 6 kg (tambour 50 L) - Classe A+++,239€99,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/beko_dwtv6621xwow_n1811064601459A_134809930.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/beko_dwtv6621xwow.html,Essorage variable jusqu'à 1200 tours/min,Parois anti-vibrations - Départ différé 3/6/9 heures,Programme Doudoune - Tambour Aquawave,5/5 (1 avis),,288€99,-17%
Bosch WUQ24408FF,Capacité 8 kg (tambour 58 L),439€99,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/bosch_wuq24408ff_n1710124369491A_163928207.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/bosch_wuq24408ff.html,Vitesse d'essorage 1200 tours/min,Fin différée / Affichage du temps restant,Ouverture immédiate pour rajout de linge - Option VarioPerfect,5/5 (4 avis),Bon plan,669€90,-34%
Indesit BWE91283XWFR.1,Capacité 9 kg (tambour 62 L) - Classe A+++,399€99,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/indesit_bwe91283xwfr_n1709284365771A_184148108.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/indesit_bwe91283xwfr.html,Vitesse d'essorage 1200 tours/min,Départ différé de 0 à 24 heures,Système Push&Wash - 5 Programmes quotidien,5/5 (2 avis),Bon plan,39€99,
Siemens WM14T419FF,Capacité 9 kg (tambour 63 L),659€,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/siemens_wm14t419ff_n1706074313380A_160057847.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/siemens_wm14t419ff.html,Essorage variable jusqu'à 1400 tours/min,Fin différée (affichage du temps restant),Fonction rajout de linge - Option SpeedPerfect,5/5 (1 avis),Bon plan,699€,Économie : 40€
Siemens WM12N260FF,Capacité 8 kg (tambour 55 L) - Classe A+++,399€99,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/siemens_wm12n260ff_n1603224213106A_105715820.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/siemens_wm12n260ff.html,Essorage variable jusqu'à 1200 tours/min,Fin différée / Affichage du temps restant,Moteur à Induction - Ouverture immédiate pour rajout de linge.,5/5 (1 avis),Bon plan,599€90,-33%
Samsung WW80K5413WW ADD WASH,Capacité 8 kg (tambour 63 L) - Classe A+++ (-40%),499€,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/samsung_ww80k5413ww_n1603174213750A_132619241.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/samsung_ww80k5413ww.html,Vitesse d'essorage 1400 tours/min,ADD WASH : ajouter du linge à tout moment en cours de cycle - Eco Bubble,Fin différée / Affichage du temps restant,5/5 (3 avis),Bon plan,559€,-10%
Beko LLF06W2,Capacité 6 kg (tambour 39 L),312€,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/beko_llf06w2_n1705124324420A_114720932.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/beko_llf06w2.html,Vitesse d'essorage 1200 tours/min,Départ différé 3/6/9 heures,Faible profondeur (41.5 cm) - Parois anti-vibrations,5/5 (1 avis),Bon plan,,
Hotpoint AQUALTIS AQ103F49FR,"Capacité 10 kg, tambour de 71 L",428€97,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/hotpoint_aq103f49fr_n1501054077849A_163501095.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/hotpoint_aq103f49fr.html,Vitesse d'essorage jusqu'à 1400 tr/min,"Classe A+++, moteur silencieux à induction","Départ différé, affichage du temps restant",5/5 (1 avis),Bon plan,,
Rosieres RILL916TI,Capacité 9 kg - Classe A+++-40%,548€85,https://image.mistergooddeal.com/encastrable/lave-linge_encastrable/lave_linge_encastrable/rosieres_rill916ti_n1705094323122A_141946085.jpg,https://www.mistergooddeal.com/nav/achat/encastrable/lave-linge_encastrable/lave_linge_encastrable/rosieres_rill916ti.html,Vitesse d'essorage 1600 tours/min,Départ différé 23 heures / Affichage du temps restant,Technologie All in One - Moteur Inverter,5/5 (1 avis),,,
Samsung WW70J5355 METAL GREY,Capacité 7 kg (volume du tambour 63 L),352€99,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/samsung_ww70j5355_metal_grey_n1704124314816A_174432841.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/samsung_ww70j5355_metal_grey.html,Vitesse d'essorage 1200 tours/min,Fin différé de 3 à 19 h / Affichage du temps restant,Technologie Eco Bubble - Tambour Crystal Care - Tiroir Perfect Clean,"4,9/5 (7 avis)",,502€80,-30%
Indesit EWD 91282 W FR,Capacité 9 kg,309€99,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/indesit_ewd_91282_w_fr_n1607064246250A_184209073.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/indesit_ewd_91282_w_fr.html,Vitesse d'essorage 1200 trs/mn max,Départ différé 1 à 24 heures - Affichage du temps restant,16 programmes dont bébé,"4,9/5 (7 avis)",Bon plan,379€99,-18%
Samsung WW90K6414QW ADD WASH,Capacité 9 kg (tambour 65 L),499€,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/samsung_ww90k6414qw_n1601134196287A_162447353.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/samsung_ww90k6414qw.html,Vitesse d'essorage 1400 tours/min - Classe A+++ (-40%),Fin différée / Affichage du temps restant,Hublot additionnel Add Wash - Smart Control (WiFi),"4,9/5 (11 avis)",,,
Indesit BWA 101283X W FR,Capacité 10 kg (tambour 71 L),406€89,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/indesit_bwa_101283x_w_fr_n1702104294521A_110452746.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/indesit_bwa_101283x_w_fr.html,Vitesse d'essorage 1200 tours/min,Départ différé de 3/6/9 heures,15 programmes (dont 1 spécial sport) - Classe A+++,"4,7/5 (3 avis)",,,
Samsung WW8EK6415SW ADD WASH,Capacité 8 kg (tambour 63 L),449€73,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/samsung_ww8ek6415sw_n1602084202562A_144249238.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/samsung_ww8ek6415sw.html,Vitesse d'essorage 1400 tours/min,Technologie EcoBubble - Hublot additionnel Add Wash,Fin différée / Affichage du temps restant - Classe A+++ (-40%),"4,6/5 (17 avis)",Soldes,567€,-21%
Bosch WAE28217FF,Capacité 7 kg (Volume du tambour 55 L),416€,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/bosch_wae28217ff_n1604294227840A_140804111.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/bosch_wae28217ff.html,Vitesse d'essorage jusqu'à 1400 tours/min - Classe A+++ -30%,Fin différée / Affichage du temps restant,Ajout de linge en cours de lavage,"4,6/5 (5 avis)",Bon plan,,
Indesit XWE 101484X WSSS FR,"Capacité 10 kg, tambour de 71 L",499€,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/indesit_xwe_101484x_wsss_fr_n1501284078985A_123120315.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/indesit_xwe_101484x_wsss_fr.html,Vitesse d'essorage jusqu'à 1400 trs/min,"Classe A+++, 16 programmes","Départ différé de 1 à 24 heures, affichage du temps restant","4,5/5 (11 avis)",,499€,-20%
Proline FP 612 W,Capacité 6 kg (tambour 38 L),183€99,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/proline_fp_612_w_n1610264250010A_170307023.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/proline_fp_612_w.html,Vitesse d'essorage 1200 tours/min,Fin différée 3/6/9 heures,Programme rapide 15 min,"4,4/5 (10 avis)",,259€,-30%
Indesit XWA71452WFR,Capacité 7 kg (tambour 52 L) - Classe A++,279€99,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/indesit_xwa71452wfr_n1806204424344A_115017836.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/indesit_xwa71452wfr.html,Essorage max. 1400 tours/min,Départ différé : 3/6/9 heures,16 programmes (dont 4 spécial sport),"4,4/5 (5 avis)",,329€99,-15%
Bosch WAB24211FF,"Capacité 6 kg, tambour de 42 L",299€99,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/bosch_wab24211ff_n1405154011422A_184845832.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/bosch_wab24211ff.html,Vitesse d'essorage jusqu'à 1200 tr/min,"Classe A+++, fonction Vario perfect","Fin différée, affichage du temps restant","4,3/5 (12 avis)",Bon plan,479€,-38%
Indesit EWC 61252 W FR M,Capacité 6kg (tambour 52 L),229€98,https://image.mistergooddeal.com/gros_electromenager/lavage_sechage/lave-linge_hublot/indesit_ewc_61252_w_fr_m_n1511064181166A_113650625.jpg,https://www.mistergooddeal.com/nav/achat/gros_electromenager/lavage_sechage/lave-linge_hublot/indesit_ewc_61252_w_fr_m.html,Vitesse d'essorage 1200 tours/min,Départ différé 3/6/9/12 heures - 16 programmes,Classe A++,"4,3/5 (12 avis)",,379€90,-40%
