name,description,price,img,linkto,infos2,infos3,infos4,rating
SmartphoneSamsung Galaxy A70 noir 128Go,Mobile sous Android 9 Pie,409,https://image.darty.com/gps_communication/telephone_mobile/telephone_portable/samsung_galaxy_a70_noir_p1905024689542A_121633520.jpg,https://www.darty.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/samsung_galaxy_a70_noir.html,6 Go RAM - 128 Go de stockage,"Ecran 6,7'' Super AMOLED FHD+ 1080 x 2400 pixels",Triple appareil photo 32 + 5+ 8 Mégapixels - Vidéo UHD 4K 30 fps,"4,6/5 (9 avis)"
SmartphoneGoogle PIXEL 3A Simplement Noir 64Go,Mobile sous Android One Pie 9.0,399,https://www.darty.com/static/3ax6/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/google_pixel_3a.html,4 Go RAM - 64 Go de stockage,"Ecran de 5,6 pouces (142,2 mm) OLED FHD+ 2220 x 1080 pixels","Caméra arrière 12,2 Mégapixels - Vidéo 1080p","4,7/5 (33 avis)"
SmartphoneHuawei P30 LITE NOIR,Mobile sous AndroidTM 9.0 Pie + EMUI 9.1,279,https://www.darty.com/static/3ax6/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/huawei_p30_lite_noir_128go.html,4 Go RAM 128 Go ROM,"Ecran FHD+ 6.15"" 2312 x 1080 pixels",Triple appareil photo 48MP (f/1.8) + 8MP (f/2.4) + 2MP (f/2.4),"4,8/5 (11 avis)"
"SmartphoneXiaomi REDMI NOTE 8 T 64 Go Bleu 6.3""",Android 9,199,https://www.darty.com/static/3ax6/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/xiaomi_redmi_note_8t_64g_bl.html,"Écran 6,3"" 2340 x 1080 px avec encoche en forme de goutte Corning® Gorilla® Glass 5 à l'avant et à l'arrière","Processeur Qualcomm® SnapdragonTM 665 -Qualcomm® KryoTM 260 CPU, Octa-coeur Jusqu’à 2.0 GHz -Qualcomm® AdrenoTM 610 GPU",Quad caméra 48 MP avec IA Ultra-grand angle et lentille macro,"4,8/5 (22 avis)"
SmartphoneSamsung Galaxy A10 32Go noir,Mobile sous Android 9 Pie,159,https://www.darty.com/static/3ax6/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/samsung_galaxy_a10_32go_noir.html,2 Go RAM - 32 Go de stockage,"Ecran Panoramique 6,2’’ HD+ 1520 x 720 pixels",Appareil photo 13 Mégapixels - Vidéo FHD 30fps,"4,7/5 (48 avis)"
SmartphoneSamsung Galaxy A51 Noir 128Go,Android 10 - Surcouche Samsung One UI 2,379,https://www.darty.com/static/3ax6/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/samsung_galaxy_a51_noir.html,"6,5"", Full HD+ : 2400 x 1080 – 407 ppp","Processeur Exynos 9611 - Octo Core 2,3 GHz - 4 Go RAM - 128 Go ROM","Appareil photo principal : Quadruple capteur, Capteur principal : 48 MP, Ouverture f/2,0, Capteur Ultra grand angle : 12 MP, Ouverture f/2,2, Capteur Mode Macro : 5 MP, Ouverture f/2,4, Capteur Mode Portrait : 5 MP, Ouverture f/2,2, Autofocus, Flash, Lancement rapide, Optimiseur de scène : 30 scènes + détection des défauts - Caméra frontale : 32 MP",
SmartphoneSamsung GALAXY S9 NOIR,"Écran tactile 5,8'' (14,7 cm) - Quad HD+ 2960 x 1440 pixels",499,https://www.darty.com/static/3ax6/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/samsung_star_n.html,Processeur Octo-coeur - 64Go de mémoire Reconnaissance d'iris,Photo 12 mégapixels - Vidéo UHD 4K,,"4,5/5 (38 avis)"
SmartphoneXiaomi MI 9T PRO 64Go Black,Mobile sous Android 9 Pie + MUI 10,429,https://www.darty.com/static/3ax6/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/xiaomi_mi_9t_pro_64go_black.html,6 Go RAM - 64 Go de stockage,Écran 6.39” 19.5:9 FHD + AMOLED 2340 x 1080 pixels,Caméra Grand Angle (Principal) 48 Mégapixels - Caméra Ultra Grand angle 13 Mégapixels – Téléobjectif 8 Mégapixels - Caméra Frontale Pop Up 20 Mégapixels,"4,8/5 (11 avis)"
SmartphoneHuawei HUAWEI P30 LITE BLEU,Mobile sous AndroidTM 9.0 Pie + EMUI 9.1,279,https://www.darty.com/static/3ax6/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/huawei_p30_lite_bleu_128go.html,4 Go RAM 128 Go ROM,"Ecran FHD+ 6.15"" 2312 x 1080 pixels",Triple appareil photo 48MP (f/1.8) + 8MP (f/2.4) + 2MP (f/2.4),"4,6/5 (9 avis)"
SmartphoneXiaomi REDMI NOTE 7 32Go BK,Mobile sous Android 9 Pie - MIUI 10,169,https://www.darty.com/static/3ax6/catalog/mobile_version/styles/images/blank.png,https://www.darty.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/xiaomi_redmi_note7_32go_bk.html,"Écran 6,3” 19,5:9 FHD+ 2340 x 1080 pixels",Processeur Qualcomm Snapdragon 660 - 3 Go RAM - 32 Go de stockage,Double Caméra arrière 48 + 5 Mégapixels,"4,6/5 (43 avis)"
