name,description,price,img,linkto,infos2,infos3,infos4,rating
Samsung Galaxy A10 32Go noir,Mobile sous Android 9 Pie,144,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/samsung_galaxy_a10_32go_noir_n1905114700740A_180055766.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/samsung_galaxy_a10_32go_noir.html,"Ecran Panoramique 6,2’’ HD+ 1520 x 720 pixels",2 Go RAM - 32 Go de stockage,Appareil photo 13 Mégapixels - Vidéo FHD 30fps,5/5 (1 avis)
Xiaomi REDMI NOTE 7 32Go BK,Mobile sous Android 9 Pie - MIUI 10,265,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/xiaomi_redmi_note7_32go_bk_n1903114670230A_110700365.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/xiaomi_redmi_note7_32go_bk.html,"Écran 6,3” 19,5:9 FHD+ 2340 x 1080 pixels",Processeur Qualcomm Snapdragon 660 - 3 Go RAM - 32 Go de stockage,Double Caméra arrière 48 + 5 Mégapixels,5/5 (1 avis)
Huawei P20 PRO BLACK,OS Android 8.1 - Oreo,530,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/huawei_p20_pro_black_128go_n1803264399820A_152207129.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/huawei_p20_pro_black_128go.html,"Tactile 15,5 cm (6,1"") - FHD+ 2244 x 1080 pixels",Processeur Octo-coeur Kirin 970,Photo Triple capteur 40+20+8 MP - Vidéo Full HD 1080p,5/5 (1 avis)
Samsung GALAXY A40 blanc 64Go,Mobile sous OS Android 9 Pie + One UI,232,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/samsung_galaxy_a40_blanc_64_n1903194672925A_142415062.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/samsung_galaxy_a40_blanc_64.html,64 Go ROM et 4 Go RAM,"Ecran Panoramique 5,9’’ Full HD+ AMOLED: 2340 x 1080",Appareil photo principal double capteur : Capteur principal : 16 MP - Capteur Ultra grand angle : 5 MP / Caméra frontale : 25 MP,5/5 (1 avis)
Doro 8035 16GO BLEU,Android 7.1 Nougat,194,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/doro_doro_8035_16go_bleu_n1803304400941A_174336364.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/doro_doro_8035_16go_bleu.html,Ecran tactile 12.7 cm (5 pouces) - 1280 x 720 pixels,Photo 5 mégapixels - Vidéo HD 720p,Processeur Qualcomm Snapdragon 210 - 16Go de mémoire,5/5 (1 avis)
Apple IPHONE 8 64GO ARGENT,OS Apple - iOS 11,519,https://image.mistergooddeal.com/telephonie/telephone_mobile_seul/iphone/apple_iphone_8_64gb_arg_n1709154361016A_174024158.jpg,https://www.mistergooddeal.com/nav/achat/telephonie/telephone_mobile_seul/iphone/apple_iphone_8_64gb_arg.html,"Écran tactile 11,9 cm (4,7'') - LCD Retina HD 1334 x 750 pixels",Photo 12 mégapixels - Vidéo UHD 4K,Puce A11 Bionic - 64 Go de mémoire,5/5 (1 avis)
Apple IPHONE 7 32 GO NOIR,OS Apple - iOS 10,426,https://image.mistergooddeal.com/telephonie/telephone_mobile_seul/iphone/apple_iph7_32go_noir_n1609084258150A_145829473.jpg,https://www.mistergooddeal.com/nav/achat/telephonie/telephone_mobile_seul/iphone/apple_iph7_32go_noir.html,"Écran tactile 11,9cm (4,7'') - IPS Retina HD 1334 x 750 pixels",Photo 12 mégapixels - Vidéo UHD 4K,Processeur A10 FUSION - 32 Go de mémoire,5/5 (1 avis)
Samsung Galaxy A50 noir 128 Go,Mobile sous OS Android 9 Pie,308,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/samsung_galaxy_a50_noir_128_n1903114673026A_164442850.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/samsung_galaxy_a50_noir_128.html,"Ecran Panoramique 6,4’’ AMOLED Full HD+ : 2340 x 1080",128 Go ROM et 4 Go RAM,Triple capteur : Capteur principal : 25 MP - Capteur Ultra grand angle : 8 MP - Capteur Mode Portrait : 5 MP,5/5 (3 avis)
Apple IPHONE 11 PRO MAX 256GO MIDNIGHT GREEN,Mobile sous OS Apple - iOS 13 - 4G+,1 311,https://image.mistergooddeal.com/telephonie/telephone_mobile_seul/iphone/apple_iph11_p_max_256g_grn_n1909114738454A_144934829.jpg,https://www.mistergooddeal.com/nav/achat/telephonie/telephone_mobile_seul/iphone/apple_iph11_p_max_256g_grn.html,"Ecran tactile 16,5 cm (6,5 pouces) 2688 x 1242 pixels",Processeur A13 Bionic - Capacité 256 Go,,5/5 (2 avis)
Apple IPHONE XR 64BG YELLOW,Mobile sous OS Apple - iOS 12 - 4G+,709,https://image.mistergooddeal.com/telephonie/telephone_mobile_seul/iphone/apple_ref_iphone_022_n1809134604075A_001236038.JPG,https://www.mistergooddeal.com/nav/achat/telephonie/telephone_mobile_seul/iphone/apple_ref_iphone_022.html,"Ecran tactile 15,4 cm (6,1 pouces) 1792 x 828 pixels",Processeur A12 - 64 Go de mémoire,Appareil photo grand angle 12 Mégapixels - Vidéo 4K UHD,5/5 (1 avis)
Apple IPHONE 8 64 GO OR,OS Apple - iOS 11,521,https://image.mistergooddeal.com/telephonie/telephone_mobile_seul/iphone/apple_iphone_8_64gb_or_n1709154361024A_174350046.jpg,https://www.mistergooddeal.com/nav/achat/telephonie/telephone_mobile_seul/iphone/apple_iphone_8_64gb_or.html,"Écran tactile 11,9 cm (4,7'') - LCD Retina HD 1334 x 750 pixels",Photo 12 mégapixels - Vidéo UHD 4K,Puce A11 Bionic - 64 Go de mémoire,5/5 (1 avis)
Apple IPHONE 8 PLUS 64 GO GRIS SIDERAL,OS Apple - iOS 11,630,https://image.mistergooddeal.com/telephonie/telephone_mobile_seul/iphone/apple_iph8_plus_64_gb_sg_n1709154361083A_180909240.jpg,https://www.mistergooddeal.com/nav/achat/telephonie/telephone_mobile_seul/iphone/apple_iph8_plus_64_gb_sg.html,"Ecran tactile 13.9 cm (5,5) - 1920 x 1080 pixels",Photo 12 mégapixels grand angle et téléobjectif - Vidéo UHD 4K,Puce A11 Bionic - 64 Go de mémoire,5/5 (2 avis)
Samsung GALAXY NOTE 4 NOIR,OS Android 4.4 - Kit Kat,185,https://image.mistergooddeal.com/gps_communication/telephone_mobile/telephone_portable/samsung_galaxy_note_4_noir_n1409264052269A_172323503.jpg,https://www.mistergooddeal.com/nav/achat/gps_communication/telephone_mobile/telephone_portable/samsung_galaxy_note_4_noir.html,"Écran tactile 14,4cm (5.7'') - Super AMOLED QHD 2560x1440p",Photo 16 mégapixels - Vidéo UHD 3840 x 2160 pixels,"Processeur quadri-cœur 2,7GHz - 32Go de mémoire",5/5 (1 avis)
