name,description,price,imgUrl,linkto,maker,model,puissance,bvtype,percentage,loaprice,prixbarre,carburant,nbPlaces,bvdetail,detail1,detail2,datedispo
PEUGEOT 308,PureTech 130ch S&S BVM6 Allure Blanc Nacré + Driver Sport Pack + Roue de secours galette avec options,19 770,https://cdn.auto-ies.com/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/6/3/63726-02.jpg,https://www.auto-ies.com/peugeot-308-2036793,PEUGEOT,308,130,Manuelle,-32.1%,"142,36 €/mois",28 750,Essence,5 Places,Boite de vitesse Manuelle 6 vitesses,Carrosserie Berline - 5 Portes,Puissance en ch 130 ch (96.0 kW) - 7 cv,Livrable le 23/03/2020
PEUGEOT 308,PureTech 130ch S&S BVM6 Allure Bleu Magnetic + Jantes alliage 17'' 'Rubis'+ Roue de secours galette avec options,19 648,https://cdn.auto-ies.com/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/6/3/63725-02_6.jpg,https://www.auto-ies.com/peugeot-308-2036796,PEUGEOT,308,130,Manuelle,-32.1%,"141,56 €/mois",28 570,Essence,5 Places,Boite de vitesse Manuelle 6 vitesses,Carrosserie Berline - 5 Portes,Puissance en ch 130 ch (96.0 kW) - 7 cv,Livrable le 17/03/2020
PEUGEOT 308,PureTech 130ch S&S BVM6 Allure Gris Artense + Jantes alliage 17'' 'Rubis'+ Roue de secours galette avec options,19 648,https://cdn.auto-ies.com/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/5/9/59695-02_4.jpg,https://www.auto-ies.com/peugeot-308-2036798,PEUGEOT,308,130,Manuelle,-32.1%,"141,56 €/mois",28 570,Essence,5 Places,Boite de vitesse Manuelle 6 vitesses,Carrosserie Berline - 5 Portes,Puissance en ch 130 ch (96.0 kW) - 7 cv,Livrable le 17/03/2020
PEUGEOT 308,PureTech 130ch S&S EAT8 GT Line Gris Artense + Roue de secours galette avec options,22 221,https://cdn.auto-ies.com/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/6/4/64605-02_5.jpg,https://www.auto-ies.com/peugeot-308-2036804,PEUGEOT,308,130,Automatique,-32.1%,"158,60 €/mois",32 360,Essence,5 Places,Boite de vitesse Automatique 8 vitesses,Carrosserie Berline - 5 Portes,Puissance en ch 130 ch (96.0 kW) - 7 cv,Livrable le 17/03/2020
PEUGEOT 308,BlueHDi 130ch S&S EAT8 GT Line Rouge Ultimate + Driver Sport Pack avec options,23 905,https://cdn.auto-ies.com/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/6/3/63813-02_4.jpg,https://www.auto-ies.com/peugeot-308-2036856,PEUGEOT,308,130,Automatique,-32.1%,"154,84 €/mois",34 840,Diesel,5 Places,Boite de vitesse Automatique 8 vitesses,Carrosserie Berline - 5 Portes,Puissance en ch 130 ch (96.0 kW) - 7 cv,Livrable le 23/03/2020
PEUGEOT 308,PureTech 130ch S&S BVM6 GT Line Rouge Ultimate + Roue de secours galette avec options,21 284,https://cdn.auto-ies.com/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/6/1/61494-02_3.jpg,https://www.auto-ies.com/peugeot-308-2036787,PEUGEOT,308,130,Manuelle,-31.1%,"160,61 €/mois",30 530,Essence,5 Places,Boite de vitesse Manuelle 6 vitesses,Carrosserie Berline - 5 Portes,Puissance en ch 130 ch (96.0 kW) - 7 cv,Livrable le 17/03/2020
PEUGEOT 308,PureTech 130ch S&S EAT8 Allure Gris Artense + Jantes alliage 17'' 'Rubis'+ Roue de secours galette avec options,21 312,https://cdn.auto-ies.com/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/5/9/59695-02_6.jpg,https://www.auto-ies.com/peugeot-308-2036803,PEUGEOT,308,130,Automatique,-31.1%,"160,81 €/mois",30 570,Essence,5 Places,Boite de vitesse Automatique 8 vitesses,Carrosserie Berline - 5 Portes,Puissance en ch 130 ch (96.0 kW) - 7 cv,Livrable le 17/03/2020
PEUGEOT 308,"PureTech 110ch S&S BVM6 Allure Blanc Banquise + Jantes alliage 17"" 'Rubis' + Roue de secours galette avec options",18 900,https://cdn.auto-ies.com/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/6/3/63720-02_4.jpg,https://www.auto-ies.com/peugeot-308-2036809,PEUGEOT,308,110,Manuelle,-31.1%,"143,87 €/mois",27 070,Essence,5 Places,Boite de vitesse Manuelle 6 vitesses,Carrosserie Berline - 5 Portes,Puissance en ch 110 ch (81.0 kW) - 6 cv,Livrable le 17/03/2020
PEUGEOT 308,"PureTech 110ch S&S BVM6 Allure Rouge Ultimate + Jantes alliage 17"" 'Rubis' + Roue de secours galette avec options",19 327,https://cdn.auto-ies.com/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/6/3/63727-02.jpg,https://www.auto-ies.com/peugeot-308-2036810,PEUGEOT,308,110,Manuelle,-31.1%,"146,86 €/mois",27 690,Essence,5 Places,Boite de vitesse Manuelle 6 vitesses,Carrosserie Berline - 5 Portes,Puissance en ch 110 ch (81.0 kW) - 6 cv,Livrable le 17/03/2020
PEUGEOT 308,PureTech 110ch S&S BVM6 Allure Gris Artense + Pack Side Security + Roue de secours galette avec options,19 376,https://cdn.auto-ies.com/catalog/product/cache/1/image/1800x/040ec09b1e35df139433887a97daa66f/5/9/59695-02_7.jpg,https://www.auto-ies.com/peugeot-308-2036812,PEUGEOT,308,110,Manuelle,-31.1%,"147,23 €/mois",27 760,Essence,5 Places,Boite de vitesse Manuelle 6 vitesses,Carrosserie Berline - 5 Portes,Puissance en ch 110 ch (81.0 kW) - 6 cv,Livrable le 17/03/2020
